Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Title & Organization,Company,Bio,Bio Summary,Picture,Confirmed?,Sessions,Sort
Brian,brian,63d80bf94f79f4a1a6afdcfe,644774d24084c9b366bfcd96,Tue Apr 25 2023 06:36:02 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 19:24:17 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 19:25:49 GMT+0000 (Coordinated Universal Time),Engineer @ Fission,,"<p>Brian is protocol engineer on the Fission ODD SDK team. He loves frontend web development, teaching, audio programming, and cycling through the woods.</p>","Brian is protocol engineer on the Fission ODD SDK team. He loves frontend web development, teaching, audio programming, and cycling through the woods.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/644819056c306404dc148928_bgins.png,true,fission-odd-sdk-workshop,100
Brooklyn Zelenka,brooklyn-zelenka,63d80bf94f79f4a1a6afdcfe,63d80fa3370e1758b5e92c52,Mon Jan 30 2023 18:42:43 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 21:24:42 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 21:24:51 GMT+0000 (Coordinated Universal Time),CTO @ Fission,Fission,"<p id="""">Brooklyn the co-founder and CTO of Fission, where her team is creating next-gen tools that empower developers to easily build innovative, decentralized applications. She is the author of numerous libraries including Witchcraft, and founded the Vancouver Functional Programming Meetup. Her belief in open standards has lead to work spanning distributed VMs (Ethereum, IPVM), authorization (UCAN), data privacy (Webnative FS), multiformats, and others.</p>","Brooklyn the co-founder and CTO of Fission, where her team is creating next-gen tools that empower developers to easily build innovative, decentralized applications. She is the author of numerous libraries including Witchcraft, and founded the Vancouver Functional Programming Meetup. Her belief in open standards has lead to work spanning distributed VMs (Ethereum, IPVM), authorization (UCAN), data privacy (Webnative FS), multiformats, and others.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e28ec745d8e1083bbaa4e3_profile01.png,true,seamless-services-for-an-open-world,7
Callum Hay,callum-hay,63d80bf94f79f4a1a6afdcfe,643854c5fff62470fa689e28,Thu Apr 13 2023 19:15:17 GMT+0000 (Coordinated Universal Time),Thu Apr 13 2023 19:18:19 GMT+0000 (Coordinated Universal Time),Thu Apr 13 2023 19:18:26 GMT+0000 (Coordinated Universal Time),Owner and Head Brewer @ Halo Brewery,Halo Brewery,"<p>Owner and Head Brewer, Callum Hay, homebrewed maniacally for 4 years before officially leaving his day job as a Software Engineer to open Halo in 2016. His shameless love of numbers and understanding of how things work has helped him continually develop his beer knowledge and never stop making our recipes even better (which is great because his first few homebrews were a disaster).</p><p>‍</p><p>When he's not brewing, planning his next brew, or cleaning up after a brew, Callum is likely tasting beer or on a vacation... tasting beer... a beercation. He's also a certified wizard.</p>","Owner and Head Brewer, Callum Hay, homebrewed maniacally for 4 years before officially leaving his day job as a Software Engineer to open Halo in 2016. His shameless love of numbers and understanding of how things work has helped him continually develop his beer knowledge and never stop making our recipes even better.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/6438546bf17abf680b2610d4_profile22.png,true,softmax,25
Chia Amisola,chia-amisola,63d80bf94f79f4a1a6afdcfe,64110ebc1714e411eecf2e48,Wed Mar 15 2023 00:18:04 GMT+0000 (Coordinated Universal Time),Thu Apr 13 2023 19:19:21 GMT+0000 (Coordinated Universal Time),Thu Apr 13 2023 19:19:28 GMT+0000 (Coordinated Universal Time),Product Designer @ Figma,,"<p>Chia Amisola is an internet / ambient artist. They are a Product Designer at Figma and the Founder of Developh, a critical technology institute in the Philippines, and the lead of the Philippine Internet Archive. Their (web)site-specific art explores worldmaking on the internet to construct spaces, systems, and tools imagining a world where creation is synonymous with liberation with strategies of tooling, constraint, compression, &amp; defaults to simultaneously dwell within &amp; reinvent technologies as a Filipino tech worker. Towards ambiences &amp; invisibles of technology, their work concerns obscured labor &amp; intelligences, low technology, memory, and poetic &amp; radical reclamations of the internet that highlight the most human part of technology — its people.</p>","Chia Amisola is an internet / ambient artist. They are a Product Designer at Figma and the Founder of Developh, a critical technology institute in the Philippines, and the lead of the Philippine Internet Archive.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/64116fa47398ac4b5f4cd012_chia-bw.png,true,the-creation-myths-of-computing,23
Chris Joel,chris-joel,63d80bf94f79f4a1a6afdcfe,63e2969fd2446c5aa25cc091,Tue Feb 07 2023 18:21:19 GMT+0000 (Coordinated Universal Time),Tue Apr 04 2023 00:13:32 GMT+0000 (Coordinated Universal Time),,CTO @ Subconcious Inc.,,<p>Chris Joel is CTO of Subconscious Inc. and has worked on performance optimization at CloudFlare and web standards for Google Chrome.</p>,Chris Joel is CTO of Subconscious Inc. and has worked on performance optimization at CloudFlare and web standards for Google Chrome.,https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e3bc0ee42fdf1f969961e2_profile10.png,false,,5
David Ogborn,david-ogborn,63d80bf94f79f4a1a6afdcfe,63d80fa3370e17d00de92c53,Mon Jan 30 2023 18:42:43 GMT+0000 (Coordinated Universal Time),Mon Mar 20 2023 16:42:11 GMT+0000 (Coordinated Universal Time),Mon Mar 20 2023 16:46:05 GMT+0000 (Coordinated Universal Time),Networked Imagination Laboratory @ McMaster University,Wave Dynamics,"<p id="""">David Ogborn is an artist programmer and artist researcher, committed to unfolding the potential for algorithms and computation to be sites of play, curiosity, and collaboration. This work takes the form of solo and ensemble performances of live coding and network music, the development of software to be used by artists, students, teachers, and researchers, and writing that attempts to both expand and unsettle these activities. At McMaster, he can most often be found in the Networked Imagination Laboratory (NIL), a CFI-funded space that puts a massive array of loudspeakers, multiple video walls, and high-performance computing at the service of collaborative, networked live coding. He is a founding member of McMaster's Cybernetic Orchestra (a live coding laptop orchestra continuously active since 2010) and half of the duo very long cat (with tabla player Shawn Mativetsky). He is the lead developer of numerous software projects and libraries used in network music and live coding, including the Estuary platform for collaborative live coding in web browsers, and the Punctual language for generative music and visuals. His writing about live coding, laptop orchestras, and network music has appeared in Computer Music Journal, Organised Sound, the Journal of Music, Technology, and Education, and the proceedings of the International Conference on Live Coding. In addition to teaching in the undergraduate Multimedia program, the MA in Communication and New Media, and the PhD in Communication, New Media, and Cultural Studies, he is currently serving as the inaugural director of the Centre for Networked Media and Performance (CNMAP).</p>","David Ogborn is an artist programmer and artist researcher, committed to unfolding the potential for algorithms and computation to be sites of play, curiosity, and collaboration. He is the founding member of McMaster's Cybernetic Orchestra — a live coding laptop orchestra continuously active since 2010.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63dc510d7518efd831228640_david-ogborn.jpeg,true,the-many-stories-of-algorithmic-improvisation-aka-artistic-live-coding,8
Dr Cristina Cifuentes,dr-cristina-cifuentes,63d80bf94f79f4a1a6afdcfe,63f676306a8eac74e68aa7c4,Wed Feb 22 2023 20:08:16 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 18:46:53 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 19:02:59 GMT+0000 (Coordinated Universal Time),"VP Software Assurance @ Oracle, Adjunct Professor @ University of Queensland",,"<p id="""">Cristina is the Vice President of the Oracle Software Assurance organisation where she leads a team of security researchers and software and machine learning engineers to make application security and software assurance, at scale, a reality. She was the founding Director of Oracle Labs Australia in 2010, where she led a team of researchers and engineers for close to 12 years, with a focus on scaling up Program Analysis techniques in new application security tools. Cristina led and successfully released Oracle Parfait, a static analysis tool used by thousands of C, C++ and Java developers each day. Cristina’s passion for tackling the big issues in the field of Program Analysis began with her PhD work in binary decompilation at the Queensland University of Technology, which led to her being named the Mother of Decompilation for her pioneering contributions to this domain.</p><p id="""">Before she joined Oracle and Sun Microsystems, Cristina held academic posts at major Australian Universities, co-edited <em id="""">Going Digital</em>, a landmark book on Cybersecurity, and served on the executive committees of ACM SIGPLAN and IEEE Reverse Engineering. She holds 20+ US patents and over 50 peer-reviewed publications, and has given Keynotes at international Computer Science conferences. Where possible, she channels her interests into mentoring young programmers and minorities in STEM.</p>","Cristina is the Vice President of the Oracle Software Assurance organisation where she leads a team of security researchers and software and machine learning engineers to make application security and software assurance, at scale, a reality. Before she joined Oracle and Sun Microsystems, Cristina held academic posts at major Australian Universities, co-edited Going Digital, a landmark book on Cybersecurity.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63f770db64fac2681ea060b0_profile13.png,true,towards-intelligent-application-security,1
Edwin Brady,edwin-brady,63d80bf94f79f4a1a6afdcfe,63d80fa3370e176de0e92c54,Mon Jan 30 2023 18:42:43 GMT+0000 (Coordinated Universal Time),Mon Mar 20 2023 16:43:55 GMT+0000 (Coordinated Universal Time),Mon Mar 20 2023 16:46:05 GMT+0000 (Coordinated Universal Time),Creator of the Idris Programming Language @ St. Andrew's,St. Andrew's,"<p id="""">Edwin Brady is a Reader in Computer Science at the University of St Andrews, interested in making state of the art programming language techniques accessible to sofware developers and practitioners. This involves type theory, dependently typed functional programming, compilers and metaprogramming. He is currently working on a new implementation of Idris, a dependently typed functional programming language. When he’s not doing that, you might find him playing Go (he's about 2 kyu), walking up a hill, watching a game of cricket.</p>","Edwin Brady is a Reader in Computer Science at the University of St Andrews, interested in making state of the art programming language techniques accessible to sofware developers and practitioners. He is currently working on a new implementation of Idris, a dependently typed functional programming language.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/6400e460519b0227e1566035_profile14.png,true,idris-2-quantitative-types-in-action,11
Geoffrey Litt,geoffrey-litt,63d80bf94f79f4a1a6afdcfe,640095571f152e713751183c,Thu Mar 02 2023 12:23:51 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 00:25:44 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 13:15:59 GMT+0000 (Coordinated Universal Time),Researcher and PhD student @ MIT,MIT,"<p>Geoffrey is a researcher who wants everyone to be able to create their own personal software tools. He's currently a PhD student at MIT in the Software Design Group and collaborates with Ink &amp; Switch, an independent research lab. Prior to that, he was an engineer and designer at an education technology startup. His interests include browser extensions, spreadsheets, and large language models.</p>","Geoffrey is a researcher who wants everyone to be able to create their own personal software tools. He's currently a PhD student at MIT in the Software Design Group and collaborates with Ink & Switch, an independent research lab. Prior to that, he was an engineer and designer at an education technology startup. His interests include browser extensions, spreadsheets, and large language models.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/6400954e7d68f8497b7eb80c_profile18.png,true,dynamic-documents-as-personal-software,14
Gordon Brander,gordon-brander,63d80bf94f79f4a1a6afdcfe,63e29685f2455bf6fa4cc314,Tue Feb 07 2023 18:20:53 GMT+0000 (Coordinated Universal Time),Tue Apr 04 2023 00:13:39 GMT+0000 (Coordinated Universal Time),,CEO @ Subconcious Inc.,,"<p>Gordon Brander is CEO of Subconscious Inc. and has worked on Google Chrome, Mozilla Servo, Firefox OS as well as metaverse projects at Google Daydream.</p>","Gordon Brander is CEO of Subconscious Inc. and has worked on Google Chrome, Mozilla Servo, Firefox OS as well as metaverse projects at Google Daydream.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e2a1f96ee72c61a4cafc2d_profile05.png,false,,4
James Walker,james-walker,63d80bf94f79f4a1a6afdcfe,644774f105ffee28f8099df0,Tue Apr 25 2023 06:36:33 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 12:59:03 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 13:00:15 GMT+0000 (Coordinated Universal Time),VP of Engineering @ Fission,,,,https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/644818faa9f2590b2a9c8c07_walkah.png,true,fission-odd-sdk-workshop,100
Jasmine Wang,jasmine-wang,63d80bf94f79f4a1a6afdcfe,64404159896f1f3a2448f110,Wed Apr 19 2023 19:30:33 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 11:48:47 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 12:00:48 GMT+0000 (Coordinated Universal Time),Co-Founder @ Trellis & Verses,,"<p id="""">Jasmine Wang is a co-founder of Trellis (www.readtrellis.com), a LLM-powered book companion and tutor, and a core steward of Verses (www.verses.xyz), a creative collective building software artifacts that envision a more pluriversal, interdependent web. Jasmine is also an affiliate with the Collective Intelligence Project (www.cip.org). In her free time, she writes magical realism, poetry, science fiction, and plays piano. Next year, she'll be putting on a one-woman show about technology in SF &amp; NYC.</p>","Jasmine Wang is a co-founder of Trellis (www.readtrellis.com), a LLM-powered book companion and tutor, and a core steward of Verses (www.verses.xyz), a creative collective building software artifacts that envision a more pluriversal, interdependent web. Jasmine is also an affiliate with the Collective Intelligence Project (www.cip.org). In her free time, she writes magical realism, poetry, science fiction, and plays piano. Next year, she'll be putting on a one-woman show about technology in SF & NYC.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/6440414f9d6debff34c7ecc3_profile25.png,true,alternative-collective-futures-for-the-internet,26
Jenn Schiffer,jenn-schiffer,63d80bf94f79f4a1a6afdcfe,63dbfdc801f14568aea876ae,Thu Feb 02 2023 18:15:36 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 18:12:50 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 18:16:07 GMT+0000 (Coordinated Universal Time),Director of Community @ Glitch + Fastly,,"<p id="""">Jenn Schiffer is a Director of Community working on Glitch, now a part of Fastly, where she's responsible for supporting, growing and advocating for the friendliest community of coders. She hasn't won any awards (not mad).</p><p id="""">Jenn earned both a Bachelors and Masters in Computer Science from Montclair State University, then joining the department to work on undergraduate and graduate level curriculum, accreditation, and advising of hundreds of students. She's taught tech literacy to non-technical majors, web development fundamentals to graduate Computer Science students, and haters how to love.</p><p id="""">A proponent of open and ethical web technology, she left academia to work in the web development industry, first as senior engineer at the National Basketball Association, open web engineer at Bocoup, and then as Glitch's first Community Engineer. She's built software that runs the gamut from sports stats delivery and healthcare price crowdsourcing, to pixel art creation tools and databases helping doctors find the best cancer treatment for their patients.</p><p id="""">She has spoken all over the world at nearly 100 events about JavaScript, ethics, and art. Jenn is based in Jersey City, where she has organized the developer meetup JerseyScript and was a founding core team member of the current iteration of Code For Jersey City. She's an Emerging Philanthropist at the Women's Prison Association.<br></p>","Jenn Schiffer is a web developer, writer and artist with a background in computer science and somewhere under 500 years of HTML experience. As a Director of Community at Fastly, working on Glitch, she's responsible for supporting, growing and advocating for the friendliest community of coders into the next era of computing.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e2a221d2446c0d155da66d_profile07.png,true,condemned-to-compute-how-witnessing-the-last-20-years-of-computing-tells-me-were-going-to-be-punished-with-at-least-another-20,1
Jon Corbett,jon-corbett,63d80bf94f79f4a1a6afdcfe,63d80fa3370e17c911e92c56,Mon Jan 30 2023 18:42:43 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 18:48:27 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 19:02:59 GMT+0000 (Coordinated Universal Time),Computational Media Artist @ SFU SIAT,,"<p id="""">Jon Corbett is a nehiyaw-Métis computational media artist, professional computer programmer, and newly appointed Assistant Professor at Simon Fraser University’s School of Interactive Art &amp; Technology. He holds a BFA from the University of Alberta in Art and Design, and an MFA and Ph.D. from the University of British Columbia in Interdisciplinary Studies. His doctoral research crosses the domains of Indigenous Studies and Digital Humanities and focuses on braiding Indigenous knowledge with western computing paradigms. His research products thus far include a nehiyaw-based programming language, physical hardware designs for the nehiyaw syllabic orthography, and software/application solutions that use Indigenous Storywork as design tools. In addition to being showcased in several books and articles, his artwork has been featured at the Smithsonian National Museum of the American Indian in New York City, NY, and at the Biennale d’art contemporain autochtone / Contemporary Native Art Biennial (BACA) in Montreal, QC.</p>","Jon Corbett is a nehiyaw-Métis computational media artist. His doctoral research crosses the domains of Indigenous Studies and Digital Humanities and focuses on braiding Indigenous knowledge with western computing paradigms. His work has been featured at the Smithsonian National Museum of the American Indian in New York City, NY, and at the Biennale d’art contemporain autochtone / Contemporary Native Art Biennial (BACA) in Montreal, QC.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e28ee8effab3c7db0e3682_profile03.png,true,indigitalization-indigenous-computing-theory,9
Maggie Appleton,maggie-appleton,63d80bf94f79f4a1a6afdcfe,63e2956ed39a5004d9c03270,Tue Feb 07 2023 18:16:14 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 18:15:02 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 18:16:07 GMT+0000 (Coordinated Universal Time),"Designer, anthropologist, and developer @ Ought",,"<p id="""">Maggie is a designer, anthropologist, and mediocre developer. She currently leads design at Ought, an AI research lab exploring how machine learning can support open-ended reasoning. She previously spent years working in developer education and designing visual metaphors for programming concepts. She's enthusiastic about embodied cognition, end-user programming, and digital gardening.</p>","Maggie is a designer, anthropologist, and mediocre developer. She currently leads design at Ought, an AI research lab exploring how machine learning can support open-ended reasoning. She previously spent years working in developer education and designing visual metaphors for programming concepts. She's enthusiastic about embodied cognition, end-user programming, and digital gardening.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e2a2162883b1245631ce0d_profile06.png,true,the-expanding-dark-forest-and-generative-ai,3
Mauve,mauve,63d80bf94f79f4a1a6afdcfe,64110e7d71cdd404c3aaa40a,Wed Mar 15 2023 00:17:01 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 13:11:31 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 13:15:59 GMT+0000 (Coordinated Universal Time),Software Consultant,,<p>Mauve (they/it) is a decentralized software consultant with a focus onlocal-first web apps and community mesh networks. Their goal is to make resilient software and hardware foundations more accessible so that people can build tech that serves their communities instead of capital.</p>,"Mauve (they/it) is a decentralized software consultant with a focus on
local-first web apps and community mesh networks. Their goal is to make resilient software and hardware foundations more accessible so that people can build tech that serves their communities instead of capital.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/64116f9cf1be1915cf124406_mauve-signweaver-bw.png,true,holistic-local-first-software-on-the-p2p-web,22
Michael R. Bernstein,michael-r-bernstein,63d80bf94f79f4a1a6afdcfe,6400949394856a73eb8441a9,Thu Mar 02 2023 12:20:35 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 00:25:48 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 13:15:59 GMT+0000 (Coordinated Universal Time),Co-founder @ Reify,Reify,"<p id="""">Michael R. Bernstein is the co-founder of Reify, a boutique marketing agency that works exclusively with software companies. Prior to working with over 100 clients in the last seven years in that role, he was an engineer and engineering manager for more than five years, where he became known for digging deep into the ghosts of ideas past via reading and discussing many academic papers, and a computer science educator prior to that. He hopes to bring his unique perspective on industry, academia, and the commercialization of software to the table in order to provoke deep questions for all of Causal Islands attendees.</p>","Michael R. Bernstein is the co-founder of Reify, a boutique marketing agency that works exclusively with software companies. Prior to working with over 100 clients in the last seven years in that role, he was an engineer and engineering manager for more than five years, where he became known for digging deep into the ghosts of ideas past via reading and discussing many academic papers, and a computer science educator prior to that.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/6400ef048a868c39c7ad6537_profile17.png,true,the-hardest-problem-in-computer-science-marketing,13
Quinn Wilton,quinn-wilton,63d80bf94f79f4a1a6afdcfe,63d80fa3370e179587e92c55,Mon Jan 30 2023 18:42:43 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 18:47:41 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 19:02:59 GMT+0000 (Coordinated Universal Time),Applied Researcher @ Fission,,"<p id="""">Quinn is an applied researcher at Fission, where she spends her time experimenting with new ways of building and composing systems together. Lately, that’s meant building a decentralized edge database for supporting end-to-end encrypted applications over IPFS. In her free time, she watches way too much film, and occupies her nights with archaeological dives into dead and forgotten programming languages.<br></p>","Quinn is an applied researcher at Fission, currently architecting a decentralized edge database called RhizomeDB.
",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63f77177f0553c4921b7111e_profile15.png,true,querying-decentralized-data-in-rhizomatic-systems,6
Ramsey Nasser,ramsey-nasser,63d80bf94f79f4a1a6afdcfe,63e2963fae25b487714071c4,Tue Feb 07 2023 18:19:43 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 18:14:34 GMT+0000 (Coordinated Universal Time),Fri Mar 03 2023 18:16:07 GMT+0000 (Coordinated Universal Time),Founding Worker-Owner @ EMMA Technology Cooperative,,"<p>Ramsey Nasser is a game designer, media artist, computer scientist, and educator. He is one of the founding worker-owners of the EMMA Technology Cooperative where he builds everything from interactive experiences to Lisp compilers for clients all across the world. He lives in Brooklyn with his partner and their big goofy dog, and when he's not tinkering on some computer shenanigans you'll find him riding his motorcycle safely under the speed limit.</p>","Ramsey Nasser is a game designer, media artist, computer scientist, and educator. He is one of the founding worker-owners of the EMMA Technology Cooperative where he builds everything from interactive experiences to Lisp compilers for clients all across the world.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63f679770c804f4998fcd4f6_ramsey-nasser.jpg,true,how-to-write-a-joke-that-will-still-be-funny-in-two-thousand-years,10
Rupert Parry,rupert-parry,63d80bf94f79f4a1a6afdcfe,640093872bd1b62c53825869,Thu Mar 02 2023 12:16:07 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 00:25:52 GMT+0000 (Coordinated Universal Time),Wed Mar 15 2023 13:15:59 GMT+0000 (Coordinated Universal Time),Designer and Programmer @ Mozilla,Mozilla,"<p id="""">Rupert is a designer and programmer, and part of Mozilla's innovation studio where he works on product development in AI. He's passionate about machine learning, natural user interfaces, speculative futures, and ultimately making personal computing more humane and accessible for all.</p>","Rupert is a designer and programmer, and part of Mozilla's innovation studio where he works on product development in AI. He's passionate about machine learning, natural user interfaces, speculative futures, and ultimately making personal computing more humane and accessible for all.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/6400eeb0713ebf53ede6d475_profile16.png,true,building-humane-user-interfaces-with-language-models,12
Shriram Krishnamurthi,shriram-krishnamurthi,63d80bf94f79f4a1a6afdcfe,63e29603896f5463fa71c884,Tue Feb 07 2023 18:18:43 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 18:47:32 GMT+0000 (Coordinated Universal Time),Thu Feb 23 2023 19:02:59 GMT+0000 (Coordinated Universal Time),VP for Programming Languages @ Brown University,,"<p>Shriram is the Vice President for Programming Languages at Brown University in Providence, RI, USA. He’s not, really, but that’s what it says on his business card. At heart, he's a person of ill-repute: a Schemer, Racketeer, and Pyreteer. He believes tropical fruit are superior to all other kinds. He is terrified of success, because he may be forced to buy a suit. He is known to interrogate his audiences to ensure they’re paying attention. So, be alert. You can read email later.</p>","Shriram is the Vice President for Programming Languages at Brown University in Providence, RI, USA. He’s not, really, but that’s what it says on his business card. At heart, he's a person of ill-repute: a Schemer, Racketeer, and Pyreteer. He believes tropical fruit are superior to all other kinds. He is terrified of success, because he may be forced to buy a suit. He is known to interrogate his audiences to ensure they’re paying attention. So, be alert. You can read email later.",https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/63e295f78539193301c9ad1d_Screenshot%202023-02-07%20at%2010.18.20%20AM.png,true,programming-before-you-program,2
Simon Wardley,simon-wardley,63d80bf94f79f4a1a6afdcfe,63f676adf14648afa3cfb0fa,Wed Feb 22 2023 20:10:21 GMT+0000 (Coordinated Universal Time),Thu Mar 16 2023 17:35:48 GMT+0000 (Coordinated Universal Time),Thu Mar 16 2023 17:38:00 GMT+0000 (Coordinated Universal Time),Researcher,,"<p id="""">Simon Wardley is a British researcher and former CEO best known for the creation of Wardley mapping.</p><p>‍</p><p id="""">Photo credit: Tiania Lea -&nbsp;<a href=""https://openuk.uk/photoexhibition/"" id="""">https://openuk.uk/photoexhibition/</a> , CC BY-SA 4.0</p>",Simon Wardley is a British researcher and former CEO best known for the creation of Wardley mapping.,https://uploads-ssl.webflow.com/63d1cb65192f1da782a41cd5/641352803f18939474d96b7d_profile19.png,true,crossing-the-river-by-feeling-the-stones,1
